                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 0.6977,                0.39162,                0.87614,                0.96419,                0.97727,                0.97839,                0.78285,                0.70078,                0.55226,                0.85861,             0.00057778,             0.00057778,             0.00057778
                    135,                0.70576,                 0.4039,                0.86809,                0.96345,                0.97727,                0.97686,                0.78673,                0.67793,                0.56859,                0.84737,             0.00056953,             0.00056953,             0.00056953
                    136,                0.69779,                0.38364,                0.87078,                0.96357,                0.97727,                0.96918,                0.77928,                0.70073,                0.61249,                0.85239,             0.00056128,             0.00056128,             0.00056128
                    137,                0.70909,                0.39843,                0.87397,                0.96729,                0.97727,                0.96074,                0.75919,                0.70608,                0.62484,                0.86065,             0.00055303,             0.00055303,             0.00055303
                    138,                0.69636,                0.40372,                0.86946,                0.96298,                0.97727,                 0.9702,                  0.768,                 0.6868,                0.58996,                0.85307,             0.00054478,             0.00054478,             0.00054478
                    139,                0.69033,                0.38447,                0.86541,                0.96229,                0.97727,                0.97718,                0.77079,                0.70091,                0.57657,                0.84619,             0.00053652,             0.00053652,             0.00053652
                    140,                0.71344,                0.40404,                0.87649,                0.96363,                0.97727,                0.97499,                0.77208,                0.71667,                0.55487,                0.84564,             0.00052827,             0.00052827,             0.00052827
                    141,                0.65897,                0.37722,                 0.8567,                0.96314,                0.97727,                0.97864,                0.78765,                 0.6874,                0.52399,                0.84056,             0.00052002,             0.00052002,             0.00052002
                    142,                0.67545,                 0.3728,                0.86972,                0.96255,                0.97727,                 0.9702,                 0.7674,                0.69919,                0.51385,                0.84578,             0.00051177,             0.00051177,             0.00051177
                    143,                0.67147,                0.37438,                0.85603,                 0.9639,                0.97727,                0.96887,                0.77034,                0.69297,                0.52655,                0.83817,             0.00050352,             0.00050352,             0.00050352
                    144,                 0.6583,                0.37263,                0.85571,                0.96281,                0.97727,                0.96995,                0.80334,                0.65945,                0.51807,                 0.8359,             0.00049527,             0.00049527,             0.00049527
                    145,                0.66007,                0.38299,                0.84986,                0.96263,                0.97727,                0.97239,                0.78571,                0.66859,                 0.5214,                0.83868,             0.00048701,             0.00048701,             0.00048701
                    146,                0.64666,                 0.3653,                0.85352,                0.96179,                0.97727,                0.98083,                0.77359,                0.71291,                0.54748,                0.84686,             0.00047876,             0.00047876,             0.00047876
                    147,                0.69694,                0.38433,                0.86611,                0.96168,                0.97727,                0.97731,                0.77325,                 0.6983,                 0.6054,                0.84636,             0.00047051,             0.00047051,             0.00047051
                    148,                0.65681,                0.37721,                0.85687,                0.96148,                0.97727,                0.97645,                 0.7862,                0.65736,                0.57601,                0.83917,             0.00046226,             0.00046226,             0.00046226
                    149,                 0.6345,                0.35954,                0.84474,                0.96383,                0.97727,                0.98109,                0.79082,                0.67065,                0.55209,                  0.838,             0.00045401,             0.00045401,             0.00045401
                    150,                0.63039,                0.36881,                0.85203,                0.96312,                0.97727,                0.97919,                0.79981,                0.65255,                0.54273,                0.83839,             0.00044576,             0.00044576,             0.00044576
                    151,                0.65038,                0.36624,                0.85908,                0.96157,                0.97727,                0.97512,                0.77377,                0.64936,                0.57005,                  0.842,              0.0004375,              0.0004375,              0.0004375
                    152,                0.63377,                0.35266,                0.86094,                0.96343,                0.97727,                0.96918,                0.77777,                0.66228,                0.57827,                0.83881,             0.00042925,             0.00042925,             0.00042925
                    153,                0.64228,                0.37182,                0.85687,                0.96209,                0.97727,                0.96481,                 0.7706,                0.67764,                    0.6,                0.84233,               0.000421,               0.000421,               0.000421
                    154,                0.65052,                0.37012,                0.85995,                0.96164,                0.97727,                 0.9664,                0.78788,                0.65292,                0.60361,                0.83671,             0.00041275,             0.00041275,             0.00041275
                    155,                0.65388,                0.36495,                   0.86,                0.96286,                0.97727,                0.96614,                0.76576,                0.64371,                0.59595,                0.83852,              0.0004045,              0.0004045,              0.0004045
